# Estimated CE-Marked Packets by Message Length for dctcp_w4 (DCTCP)
# Values are estimated by distributing aggregate TCP/IP events
# across message-length buckets in proportion to estimated
# packet counts per bucket.
# aggregate_ect0_packets 128426356
# aggregate_ce_packets   0
# length  cum_frac  messages  est_packets  est_events
   47435  0.782629     9622     307904.0       0.000
   47823  0.786343     6109     195488.0       0.000
   48215  0.790066     6123     202059.0       0.000
   48609  0.793828     6187     204171.0       0.000
   49007  0.797560     6139     202587.0       0.000
   49408  0.801257     6081     200673.0       0.000
   49813  0.805072     6273     213282.0       0.000
   50221  0.808836     6191     210494.0       0.000
   50632  0.812498     6023     204782.0       0.000
   51046  0.816173     6044     211540.0       0.000
   55381  0.819067     4761     176157.0       0.000
   60084  0.822095     4979     204139.0       0.000
   64132  0.825427     5481     235683.0       0.000
   66528  0.828232     4613     207585.0       0.000
   69014  0.830995     4545     213615.0       0.000
   71156  0.833785     4589     220272.0       0.000
   72473  0.836614     4652     227948.0       0.000
   73814  0.839386     4560     228000.0       0.000
   75180  0.842122     4500     229500.0       0.000
   75795  0.845092     4885     249135.0       0.000
   76416  0.848131     4997     254847.0       0.000
   77041  0.851152     4969     258388.0       0.000
   77672  0.854041     4752     247104.0       0.000
   78307  0.856975     4825     255725.0       0.000
   78948  0.859916     4838     256414.0       0.000
   79595  0.862902     4911     265194.0       0.000
   80246  0.865930     4980     268920.0       0.000
   80903  0.868969     4999     269946.0       0.000
   81565  0.871836     4715     259325.0       0.000
   85305  0.875255     5623     320511.0       0.000
   89216  0.878522     5374     322440.0       0.000
   93306  0.881921     5589     352107.0       0.000
   97584  0.885273     5514     363924.0       0.000
  102058  0.888673     5591     385779.0       0.000
  105871  0.891503     4655     330505.0       0.000
  109826  0.894267     4547     336478.0       0.000
  113929  0.897145     4732     359632.0       0.000
  118669  0.899842     4437     354960.0       0.000
  123857  0.902630     4585     380555.0       0.000
  129272  0.905452     4642     403854.0       0.000
  135199  0.908250     4601     418691.0       0.000
