# Estimated CE-Marked Packets by Message Length for dctcp_static_load_aware_w4 (DCTCP + Static Scheduler + Load-Aware (20 us))
# Values are estimated by distributing aggregate TCP/IP events
# across message-length buckets in proportion to estimated
# packet counts per bucket.
# aggregate_ect0_packets 81669708
# aggregate_ce_packets   0
# length  cum_frac  messages  est_packets  est_events
   46763  0.776563     4467     142944.0       0.000
   47435  0.782376     6322     202304.0       0.000
   47823  0.786172     4128     132096.0       0.000
   48215  0.789987     4150     136950.0       0.000
   48609  0.793665     4000     132000.0       0.000
   49007  0.797348     4005     132165.0       0.000
   49408  0.801136     4120     135960.0       0.000
   49813  0.805025     4229     143786.0       0.000
   50221  0.808790     4095     139230.0       0.000
   50632  0.812431     3960     134640.0       0.000
   51046  0.816158     4053     141855.0       0.000
   55381  0.819105     3205     118585.0       0.000
   60084  0.821966     3112     127592.0       0.000
   64132  0.825398     3732     160476.0       0.000
   66528  0.828219     3069     138105.0       0.000
   69014  0.830947     2966     139402.0       0.000
   71156  0.833696     2990     143520.0       0.000
   72473  0.836533     3085     151165.0       0.000
   73814  0.839334     3047     152350.0       0.000
   75180  0.842134     3045     155295.0       0.000
   75795  0.845181     3314     169014.0       0.000
   76416  0.848100     3174     161874.0       0.000
   77041  0.851054     3213     167076.0       0.000
   77672  0.854007     3212     167024.0       0.000
   78307  0.856998     3253     172409.0       0.000
   78948  0.859958     3219     170607.0       0.000
   79595  0.862931     3233     174582.0       0.000
   80246  0.865907     3237     174798.0       0.000
   80903  0.868880     3233     174582.0       0.000
   81565  0.871835     3214     176770.0       0.000
   85305  0.875134     3588     204516.0       0.000
   89216  0.878471     3629     217740.0       0.000
   93306  0.881736     3551     223713.0       0.000
   97584  0.885105     3664     241824.0       0.000
  102058  0.888401     3585     247365.0       0.000
  105871  0.891166     3007     213497.0       0.000
  109826  0.893963     3042     225108.0       0.000
  113929  0.896831     3119     237044.0       0.000
  118669  0.899678     3096     247680.0       0.000
  123857  0.902447     3012     249996.0       0.000
  129272  0.905279     3080     267960.0       0.000
  135199  0.908113     3082     280462.0       0.000
  141975  0.910815     2938     279110.0       0.000
  149091  0.913610     3040     304000.0       0.000
  156563  0.916415     3051     320355.0       0.000
  164410  0.919194     3022     332420.0       0.000
  172651  0.921982     3032     351712.0       0.000
  181304  0.924706     2963     358523.0       0.000
  189618  0.927365     2892     367284.0       0.000
  197911  0.930293     3184     420288.0       0.000
  206566  0.933079     3030     418140.0       0.000
  215160  0.935793     2952     425088.0       0.000
  223195  0.938603     3056     455344.0       0.000
  231530  0.941379     3019     467945.0       0.000
  240177  0.944256     3129     503769.0       0.000
  253761  0.946965     2946     500820.0       0.000
  268113  0.949763     3043     544697.0       0.000
  283277  0.952603     3089     583821.0       0.000
  318166  0.955381     3021     643473.0       0.000
  368444  0.958138     2998     737508.0       0.000
  426666  0.960902     3006     856710.0       0.000
  514641  0.963908     3269    1124536.0       0.000
  643946  0.966664     2998    1289140.0       0.000
  792711  0.969606     3199    1692271.0       0.000
  940700  0.972171     2790    1752120.0       0.000
 1000000  1.000000    30266   20187422.0       0.000
